shift,est,lower,upper
0.0,1.6694612646750429e-6,-0.0015520956750253833,0.0015554345975547334
0.5,-0.009334176295044738,-0.010868180914794892,-0.007800171675294584
1.0,-0.01861597263932624,-0.020138705935900156,-0.017093239342752323
1.5,-0.02773195293516828,-0.02924107182061057,-0.02622283404972599
2.0,-0.03724335552341029,-0.03874116401639402,-0.03574554703042657
2.5,-0.04676248676145622,-0.048249777397937316,-0.04527519612497513
3.0,-0.054865489718191385,-0.05634518103124605,-0.05338579840513672
3.5,-0.06282416857291773,-0.06429518853486904,-0.06135314861096641
4.0,-0.07021906069388706,-0.07168360374791666,-0.06875451763985746
4.5,-0.07888303608515046,-0.08034009878486527,-0.07742597338543565
5.0,-0.08800167473564124,-0.08945051728060341,-0.08655283219067908
5.5,-0.09710488324927768,-0.09854478324494176,-0.09566498325361361
6.0,-0.10541079934525521,-0.10684372918578196,-0.10397786950472847
6.5,-0.11428567479050566,-0.11571108626250602,-0.11286026331850531
7.0,-0.12047333741414179,-0.12189353386461817,-0.11905314096366541
7.5,-0.1251838364275577,-0.1266007986956497,-0.12376687415946572
8.0,-0.12756713741803083,-0.12898154018208144,-0.12615273465398022
8.5,-0.1297677382457605,-0.13118141263129657,-0.1283540638602244
9.0,-0.13129714033437268,-0.13270933661841544,-0.1298849440503299
9.5,-0.1322627930204,-0.13367378253752227,-0.13085180350327774
10.0,-0.13290185983138225,-0.13431209718110548,-0.13149162248165902
